China,India,USA,Japan,Russia
89592595120,23429667371,3.20E+11,46079267890,78989875869
95363763560,24575212605,3.26E+11,47366124205,80578538733
1.02E+11,25785358272,3.32E+11,48628763657,82227197467
1.09E+11,27072507483,3.38E+11,49928815630,83874926408
1.16E+11,28462760974,3.44E+11,51158061080,85554720858
1.24E+11,30010752013,3.50E+11,52318264713,87127159867
1.32E+11,31730872573,3.56E+11,53529837581,88784720546
1.42E+11,33430899968,3.61E+11,54791236171,90497145315
1.51E+11,35248071567,3.67E+11,56093319098,92223244815
1.61E+11,37231830380,3.72E+11,57407388670,93889233389
1.71E+11,39229708958,3.78E+11,58671561922,95556344096
1.81E+11,41437242850,3.83E+11,59895228397,97228239175
1.90E+11,43713650045,3.89E+11,61099547020,98896309108
2.00E+11,46091097909,3.94E+11,62304608199,1.01E+11
,,,,
