Year,Country,Carbon
1900,Afghanistan,0
1901,Afghanistan,0
1902,Afghanistan,0
1903,Afghanistan,0
1904,Afghanistan,0
1905,Afghanistan,0
1906,Afghanistan,0
1907,Afghanistan,0
1908,Afghanistan,0
1909,Afghanistan,0
1910,Afghanistan,0
1911,Afghanistan,0
1912,Afghanistan,0
1913,Afghanistan,0
1914,Afghanistan,0
1915,Afghanistan,0
1916,Afghanistan,0
1917,Afghanistan,0
1918,Afghanistan,0
1919,Afghanistan,0
1920,Afghanistan,0
1921,Afghanistan,0
1922,Afghanistan,0
1923,Afghanistan,0
1924,Afghanistan,0
1925,Afghanistan,0
1926,Afghanistan,0
1927,Afghanistan,0
1928,Afghanistan,0
1929,Afghanistan,0
1930,Afghanistan,0
1931,Afghanistan,0
1932,Afghanistan,0
1933,Afghanistan,0
1934,Afghanistan,0
1935,Afghanistan,0
1936,Afghanistan,0
1937,Afghanistan,0
1938,Afghanistan,0
1939,Afghanistan,0
1940,Afghanistan,0
1941,Afghanistan,0
1942,Afghanistan,0
1943,Afghanistan,0
1944,Afghanistan,0
1945,Afghanistan,0
1946,Afghanistan,0
1947,Afghanistan,0
1948,Afghanistan,0
1949,Afghanistan,14656
1950,Afghanistan,98928
1951,Afghanistan,190528
1952,Afghanistan,282128
1953,Afghanistan,388384
1954,Afghanistan,494640
1955,Afghanistan,648528
1956,Afghanistan,831728
1957,Afghanistan,1124848
1958,Afghanistan,1454608
1959,Afghanistan,1839179
1960,Afghanistan,2253063
1961,Afghanistan,2743861
1962,Afghanistan,3432455
1963,Afghanistan,4139191
1964,Afghanistan,4977742
1965,Afghanistan,5984658
1966,Afghanistan,7075817
1967,Afghanistan,8357682
1968,Afghanistan,9581072
1969,Afghanistan,10522304
1970,Afghanistan,12192701
1971,Afghanistan,14086633
1972,Afghanistan,15617799
1973,Afghanistan,17255042
1974,Afghanistan,19170720
1975,Afghanistan,21295245
1976,Afghanistan,23279471
1977,Afghanistan,25666216
1978,Afghanistan,27821636
1979,Afghanistan,30056540
1980,Afghanistan,31813562
1981,Afghanistan,33792934
1982,Afghanistan,35888474
1983,Afghanistan,38408565
1984,Afghanistan,41230980
1985,Afghanistan,44732874
1986,Afghanistan,47866946
1987,Afghanistan,50981106
1988,Afghanistan,53838190
1989,Afghanistan,56603078
1990,Afghanistan,59205485
1991,Afghanistan,61631971
1992,Afghanistan,63013493
1993,Afghanistan,64347330
1994,Afghanistan,65629819
1995,Afghanistan,66860958
1996,Afghanistan,68026093
1997,Afghanistan,69110567
1998,Afghanistan,70140029
1999,Afghanistan,70949598
2000,Afghanistan,71717793
2001,Afghanistan,72529867
2002,Afghanistan,73593942
2003,Afghanistan,74781013
2004,Afghanistan,75722468
2005,Afghanistan,77042718
2006,Afghanistan,78685964
2007,Afghanistan,80954308
2008,Afghanistan,85152637
